effect_scenario,scaffold_cost,standard_dqn_reward,zpd_reward,dqn_minus_zpd,dqn_beats_zpd
weak,0.02,0.5683138776898965,0.5697243968897959,-0.0014105191998994293,False
weak,0.03,0.5599491910331109,0.5546128855576415,0.005336305475469372,True
weak,0.04,0.5515845043763253,0.5546128855576415,-0.0030283811813162087,False
moderate,0.02,0.5852386635848711,0.5908688165185091,-0.005630152933638,False
moderate,0.03,0.5768914587811619,0.5811670594994787,-0.0042756007183167855,False
moderate,0.04,0.5685442539774527,0.5717225235702228,-0.003178269592770122,False
strong,0.02,0.6057349786031794,0.6161075540308265,-0.010372575427647135,False
strong,0.03,0.597428058069603,0.6068047101174643,-0.009376652047861311,False
strong,0.04,0.5891211375360262,0.5975006979055444,-0.008379560369518146,False
