policy,independence_bin,decisions,mean_independence,mean_zpd_score,scaffold_rate,mean_reward,simulated_success_rate,mean_next_independence,scaffold_rate_percent,simulated_success_percent
dueling_double_dqn,"(-0.001, 0.1]",1940,0.04530440450036303,0.042768024727706605,0.5541237113402062,0.06779556760157014,0.08505154639175258,0.0846125617596558,55.412371134020624,8.505154639175258
dueling_double_dqn,"(0.1, 0.2]",2501,0.1526732110604197,0.27080585453490535,0.616953218712515,0.1844030407229275,0.21111555377848862,0.20496381592804128,61.695321871251494,21.111555377848862
dueling_double_dqn,"(0.2, 0.3]",3846,0.25315304715777215,0.5702415408636348,0.6848673946957878,0.29719957687803467,0.31877275091003643,0.31800251677189056,68.48673946957878,31.877275091003643
dueling_double_dqn,"(0.3, 0.4]",5914,0.35403067474233,0.8319556373136007,0.7401082177882989,0.4023459714594834,0.428982076428813,0.4256574326020525,74.0108217788299,42.898207642881296
dueling_double_dqn,"(0.4, 0.5]",8664,0.45165285902202734,0.9749289295370416,0.7377654662973222,0.4953417074926623,0.5170821791320406,0.5173765483941967,73.77654662973222,51.70821791320406
dueling_double_dqn,"(0.5, 0.6]",9044,0.5480519009013453,0.9751177970760424,0.7054400707651481,0.5640068605976275,0.5850287483414418,0.585134734125797,70.54400707651482,58.50287483414418
dueling_double_dqn,"(0.6, 0.7]",10366,0.6537868467716782,0.8149473078571321,0.6891761528072545,0.6070489910956032,0.6252170557592128,0.6270974224650556,68.91761528072546,62.52170557592128
dueling_double_dqn,"(0.7, 0.8]",16172,0.7523216220513153,0.5540107653585741,0.623732376947811,0.6769930910081866,0.6984912193915409,0.6964015397500801,62.3732376947811,69.84912193915409
dueling_double_dqn,"(0.8, 0.9]",10840,0.840289371364451,0.2906062934439432,0.5261992619926199,0.7464283930744758,0.7650369003690037,0.762919242222831,52.61992619926199,76.50369003690038
dueling_double_dqn,"(0.9, 1.0]",1646,0.931028171921124,0.07328649479989986,0.48298906439854195,0.8147144527768334,0.8207776427703524,0.8270931650726008,48.29890643985419,82.07776427703524
simple_zpd_rule,"(-0.001, 0.1]",2101,0.045788704799084805,0.043670307370377186,0.0,0.08635861982245925,0.08757734412184674,0.08670932845379443,0.0,8.757734412184675
simple_zpd_rule,"(0.1, 0.2]",2243,0.1517759965756776,0.268266863505867,0.0,0.19068959931519003,0.1939366919304503,0.19150549641015532,0.0,19.393669193045028
simple_zpd_rule,"(0.2, 0.3]",3276,0.2545482886634467,0.5743107644214842,0.7512210012210012,0.29203945338095477,0.3131868131868132,0.3142294526730787,75.12210012210012,31.318681318681318
simple_zpd_rule,"(0.3, 0.4]",5337,0.35395722344436736,0.8318552308634987,1.0,0.3986332605893022,0.43769908188120665,0.4308997159122784,100.0,43.76990818812067
simple_zpd_rule,"(0.4, 0.5]",8677,0.4524676699311115,0.9754473311849274,1.0,0.5009412317407475,0.531059121816296,0.5309707042596346,100.0,53.1059121816296
simple_zpd_rule,"(0.5, 0.6]",9182,0.5473556007806109,0.9758071682197799,1.0,0.574233808666898,0.6000871269875844,0.6031971382470697,100.0,60.00871269875844
simple_zpd_rule,"(0.6, 0.7]",9970,0.6543434082565002,0.8137051521374746,1.0,0.6085274032862089,0.6349047141424273,0.6376217310002635,100.0,63.490471414242734
simple_zpd_rule,"(0.7, 0.8]",17270,0.7531668340152029,0.5514950544580082,0.6757382744643892,0.6770412534962496,0.6994209612044007,0.6978402336948566,67.57382744643891,69.94209612044007
simple_zpd_rule,"(0.8, 0.9]",11344,0.8394213408095124,0.29311065419032706,0.0,0.7534384159152588,0.7539668547249647,0.7535705256176852,0.0,75.39668547249647
simple_zpd_rule,"(0.9, 1.0]",1533,0.9305452443537803,0.07384679714723669,0.0,0.8232569798560456,0.8127853881278538,0.8206375136197388,0.0,81.27853881278538
standard_double_dqn,"(-0.001, 0.1]",1838,0.04501505971776516,0.04235203683052334,0.6316648531011969,0.0639595669416954,0.08596300326441784,0.08370708437661563,63.16648531011969,8.596300326441785
standard_double_dqn,"(0.1, 0.2]",2301,0.15285369057996748,0.2713221161645763,0.8192090395480226,0.17852574570335858,0.21425467188179054,0.20589050658303829,81.92090395480226,21.425467188179052
standard_double_dqn,"(0.2, 0.3]",3570,0.2544118955814872,0.5739229402911682,0.8613445378151261,0.2920845954734428,0.31204481792717087,0.3164551132717488,86.1344537815126,31.204481792717086
standard_double_dqn,"(0.3, 0.4]",5462,0.3538946742399932,0.8317048965616803,0.8899670450384475,0.3984340141197859,0.4335408275357012,0.42723497598712973,88.99670450384475,43.354082753570125
standard_double_dqn,"(0.4, 0.5]",8345,0.45185560254439255,0.9751117329225889,0.900299580587178,0.495229764661354,0.5270221689634512,0.5234346063000899,90.0299580587178,52.70221689634512
standard_double_dqn,"(0.5, 0.6]",9156,0.5483288457491035,0.9750170788920159,0.876692878986457,0.5681410888778591,0.5890126692878986,0.5930845737575643,87.66928789864569,58.901266928789866
standard_double_dqn,"(0.6, 0.7]",10116,0.6538861100854682,0.8147226925886836,0.8747528667457493,0.6083961885427408,0.6337485172004745,0.6344162102089536,87.47528667457493,63.37485172004745
standard_double_dqn,"(0.7, 0.8]",16208,0.7531779823495629,0.5514397158912279,0.8400789733464955,0.6743684071649245,0.7011969397828233,0.6999772555217685,84.00789733464956,70.11969397828233
standard_double_dqn,"(0.8, 0.9]",12041,0.8410085833069693,0.2885709898492903,0.7746034382526368,0.7431277050429809,0.7648866373224815,0.7659955587008471,77.46034382526368,76.48866373224816
standard_double_dqn,"(0.9, 1.0]",1896,0.930682720860097,0.07362775801171215,0.6861814345991561,0.8057025736234161,0.8222573839662447,0.8252768628226885,68.61814345991561,82.22573839662446
