epoch,accuracy,auc,learning_rate,loss,rmse,val_accuracy,val_auc,val_loss,val_rmse
0,0.7188987135887146,0.7663479447364807,0.0010000000474974513,0.554638147354126,0.4323377311229706,0.7391384243965149,0.7975274324417114,0.5272592306137085,0.4194013476371765
1,0.7406272292137146,0.7956915497779846,0.0010000000474974513,0.5255914330482483,0.4183710217475891,0.7425524592399597,0.8034791946411133,0.52070152759552,0.416342169046402
2,0.7437648177146912,0.8008002638816833,0.0010000000474974513,0.5194372534751892,0.4156438708305359,0.7446657419204712,0.806172788143158,0.5161339044570923,0.41448482871055603
3,0.7459703087806702,0.8040192723274231,0.0010000000474974513,0.5153563618659973,0.4138963520526886,0.7461633682250977,0.8078051805496216,0.5140235424041748,0.41364338994026184
4,0.7471309304237366,0.805858850479126,0.0010000000474974513,0.513148844242096,0.41292014718055725,0.7463820576667786,0.8087741732597351,0.5130329728126526,0.4131207764148712
5,0.7483006119728088,0.8072556257247925,0.0010000000474974513,0.5114359855651855,0.41213420033454895,0.7468733191490173,0.809542715549469,0.5119152069091797,0.4126737713813782
6,0.7491469979286194,0.8083040118217468,0.0010000000474974513,0.5101816058158875,0.41153860092163086,0.7468026876449585,0.8100239038467407,0.5111304521560669,0.41232338547706604
7,0.750114381313324,0.8096234798431396,0.0010000000474974513,0.5086535811424255,0.4108595550060272,0.7473644018173218,0.8103587031364441,0.5113404393196106,0.41226232051849365
8,0.7507951855659485,0.8106119632720947,0.0005000000237487257,0.50740647315979,0.41028907895088196,0.7478343844413757,0.8111608624458313,0.5098132491111755,0.4116838574409485
9,0.751052975654602,0.811305820941925,0.0005000000237487257,0.5065279603004456,0.4099164605140686,0.7480143308639526,0.8114888668060303,0.5093381404876709,0.4114903211593628
10,0.7516705989837646,0.8118533492088318,0.0005000000237487257,0.5059652328491211,0.4096262753009796,0.7482765316963196,0.8118271231651306,0.5089836120605469,0.41133493185043335
11,0.7517958879470825,0.812209963798523,0.0005000000237487257,0.5055655241012573,0.40942469239234924,0.7484021186828613,0.8116857409477234,0.5091238617897034,0.41138389706611633
12,0.7524235844612122,0.8129604458808899,0.0002500000118743628,0.5046041011810303,0.4089951813220978,0.7482537627220154,0.812041163444519,0.5087904334068298,0.41123008728027344
13,0.7529836893081665,0.8133968710899353,0.0002500000118743628,0.5040708780288696,0.40878230333328247,0.7483421564102173,0.8123922348022461,0.5083531141281128,0.41104140877723694
14,0.7530947923660278,0.8135857582092285,0.0002500000118743628,0.5040755271911621,0.40873169898986816,0.7485933303833008,0.8124455809593201,0.5083718299865723,0.41103699803352356
15,0.7529836893081665,0.8140238523483276,0.0001250000059371814,0.5034412741661072,0.40844738483428955,0.748602569103241,0.8125380873680115,0.5081406831741333,0.41093742847442627
16,0.7535009980201721,0.8141989707946777,0.0001250000059371814,0.5032379627227783,0.40836015343666077,0.7488289475440979,0.8126916885375977,0.507968544960022,0.41085314750671387
17,0.7533915638923645,0.8143281936645508,0.0001250000059371814,0.5030213594436646,0.4082718789577484,0.7487863302230835,0.8126593828201294,0.5079587697982788,0.41085225343704224
