epoch,accuracy,auc,learning_rate,loss,rmse,val_accuracy,val_auc,val_loss,val_rmse
0,0.710338294506073,0.7555420994758606,0.0005000000237487257,0.5639401078224182,0.4369654059410095,0.7352515459060669,0.7931572198867798,0.5321193337440491,0.4217712879180908
1,0.736752986907959,0.7908700108528137,0.0005000000237487257,0.5309772491455078,0.42097464203834534,0.7402188181877136,0.7999028563499451,0.5245805978775024,0.4181550145149231
2,0.7411256432533264,0.7974615097045898,0.0005000000237487257,0.5234217643737793,0.41753363609313965,0.7424410581588745,0.8035060167312622,0.5195908546447754,0.4159759283065796
3,0.7435570955276489,0.8007054924964905,0.0005000000237487257,0.5196242928504944,0.41580361127853394,0.7439358830451965,0.8051451444625854,0.5173684358596802,0.41509729623794556
4,0.744452714920044,0.8029206991195679,0.0005000000237487257,0.516792356967926,0.41461992263793945,0.7450160384178162,0.806307315826416,0.5160123109817505,0.41450557112693787
5,0.746048092842102,0.8048754930496216,0.0005000000237487257,0.5144357085227966,0.4135674834251404,0.7450750470161438,0.8076155185699463,0.5144134759902954,0.41383346915245056
6,0.7469519972801208,0.8061280846595764,0.0005000000237487257,0.5128726959228516,0.4128713607788086,0.745300829410553,0.8082821369171143,0.5133545398712158,0.41340047121047974
7,0.7477024793624878,0.8073209524154663,0.0005000000237487257,0.5114149451255798,0.4122282564640045,0.746368408203125,0.8085424900054932,0.5131889581680298,0.4132031500339508
8,0.7486842274665833,0.8082247972488403,0.0005000000237487257,0.5102705955505371,0.4116741418838501,0.7472572922706604,0.8095162510871887,0.5117518901824951,0.4126036465167999
9,0.7494246363639832,0.8092793226242065,0.0005000000237487257,0.5090691447257996,0.41113659739494324,0.7471720576286316,0.8100948333740234,0.5111992955207825,0.4123942255973816
10,0.7500333189964294,0.8100674152374268,0.0005000000237487257,0.5081688165664673,0.41068795323371887,0.7479279637336731,0.8104957938194275,0.510705828666687,0.41214245557785034
11,0.7505265474319458,0.810734212398529,0.0005000000237487257,0.5072623491287231,0.4103222191333771,0.747215747833252,0.8107412457466125,0.5101886987686157,0.4119001030921936
12,0.7511521577835083,0.8115020990371704,0.0005000000237487257,0.5063511729240417,0.40987974405288696,0.7478787899017334,0.8112203478813171,0.509734034538269,0.4116928279399872
13,0.7518212199211121,0.8122590184211731,0.0005000000237487257,0.5054975152015686,0.4094693958759308,0.7480354905128479,0.8117488026618958,0.5090732574462891,0.4113829731941223
14,0.7521020174026489,0.812947690486908,0.0005000000237487257,0.5046621561050415,0.40909019112586975,0.7482892870903015,0.8117204308509827,0.5092145800590515,0.4114285409450531
15,0.7526208758354187,0.814043402671814,0.0002500000118743628,0.5033590197563171,0.4084976315498352,0.7484199404716492,0.8121583461761475,0.5084623694419861,0.4111272394657135
16,0.7534084320068359,0.8146531581878662,0.0002500000118743628,0.5026889443397522,0.4081669747829437,0.7484873533248901,0.8125015497207642,0.5081354379653931,0.4109691381454468
17,0.7537103891372681,0.8147966265678406,0.0002500000118743628,0.50252765417099,0.40808621048927307,0.7489601373672485,0.8124163746833801,0.5080800652503967,0.41094496846199036
