epoch,accuracy,auc,learning_rate,loss,rmse,val_accuracy,val_auc,val_loss,val_rmse
0,0.7122443318367004,0.7573503851890564,0.0005000000237487257,0.5622400641441345,0.4360540509223938,0.736341655254364,0.7948949337005615,0.5307977795600891,0.42115968465805054
1,0.7374445199966431,0.7920858860015869,0.0005000000237487257,0.5296623110771179,0.42030438780784607,0.7412473559379578,0.8013522028923035,0.5227246880531311,0.41734832525253296
2,0.7420998811721802,0.7987940907478333,0.0005000000237487257,0.5218718647956848,0.41682255268096924,0.7434561848640442,0.8047196865081787,0.5183571577072144,0.41547855734825134
3,0.7441841959953308,0.8018847703933716,0.0005000000237487257,0.5180831551551819,0.4151405394077301,0.7443057298660278,0.8061637282371521,0.5161580443382263,0.4146628677845001
4,0.7456402778625488,0.8041630387306213,0.0005000000237487257,0.5151544809341431,0.41389980912208557,0.7450697422027588,0.8074068427085876,0.5144466161727905,0.4138661324977875
5,0.7468113899230957,0.8058668375015259,0.0005000000237487257,0.5131188035011292,0.4129689931869507,0.746079683303833,0.808458685874939,0.5138073563575745,0.41357704997062683
6,0.7479091286659241,0.8071234822273254,0.0005000000237487257,0.5116832256317139,0.4123079180717468,0.7466862797737122,0.8090019822120667,0.5125234127044678,0.41298985481262207
7,0.7485846877098083,0.8080312609672546,0.0005000000237487257,0.5105571150779724,0.4117908477783203,0.7466101050376892,0.80945885181427,0.5119705200195312,0.4126838147640228
8,0.749289333820343,0.8090450763702393,0.0005000000237487257,0.5093054175376892,0.41120806336402893,0.7473704218864441,0.8100989460945129,0.5112961530685425,0.4124242961406708
9,0.7500011324882507,0.8098698258399963,0.0005000000237487257,0.508349597454071,0.410759836435318,0.7470381259918213,0.8108122944831848,0.5108888745307922,0.4122828543186188
10,0.7504460215568542,0.8107489347457886,0.0005000000237487257,0.507342517375946,0.4103105962276459,0.7482836842536926,0.8112989664077759,0.5102911591529846,0.4119301438331604
11,0.7511253952980042,0.811560332775116,0.0005000000237487257,0.5063626170158386,0.4098365902900696,0.7483354210853577,0.8117038011550903,0.5091823935508728,0.41144469380378723
12,0.7519600987434387,0.8123413920402527,0.0005000000237487257,0.5053983926773071,0.40938952565193176,0.7483179569244385,0.81214439868927,0.5086297988891602,0.41119885444641113
13,0.7526922821998596,0.8134081363677979,0.0005000000237487257,0.5041704177856445,0.4088355004787445,0.7486888766288757,0.8125989437103271,0.5079808831214905,0.41092926263809204
14,0.7532438635826111,0.8140435218811035,0.0005000000237487257,0.5034239888191223,0.40848180651664734,0.7487412095069885,0.8129115700721741,0.5077863931655884,0.4107978641986847
15,0.7534275650978088,0.8146381974220276,0.0005000000237487257,0.5026872754096985,0.40813061594963074,0.748315155506134,0.8120861649513245,0.5085135698318481,0.41118529438972473
16,0.7540285587310791,0.8156992793083191,0.0002500000118743628,0.501404345035553,0.40757569670677185,0.7496612071990967,0.8133735060691833,0.5073245167732239,0.4106004536151886
17,0.7546887993812561,0.8161081671714783,0.0002500000118743628,0.5009164810180664,0.4073580205440521,0.7496410608291626,0.8134469985961914,0.5070328116416931,0.41046950221061707
