config_name,lstm_units,second_lstm_units,dense_units,problem_embedding_dim,input_dropout,lstm_dropout,dense_dropout,learning_rate,parameter_count,best_epoch,epochs_completed,training_minutes,AUC,RMSE,Accuracy,AUC_change_vs_baseline,RMSE_change_vs_baseline,Accuracy_change_vs_baseline,checkpoint_path
T1_current_baseline,64,,32,32,0.15,0.2,0.1,0.001,141974,17,18,5.810001090949997,0.8127072108435243,0.410485174954927,0.7494788412646373,-0.0013697198509479147,0.000753155178067344,-0.001348517558564688,/content/ability_lstm_tuning/T1_current_baseline.keras
T2_balanced_96,96,,64,48,0.15,0.2,0.1,0.0005,232710,17,18,7.882646519200004,0.8125190020909347,0.4105906448607907,0.7491200613637348,-0.0015579286035374285,0.000858625083931086,-0.001707297459467183,/content/ability_lstm_tuning/T2_balanced_96.keras
T3_large_128,128,,64,64,0.15,0.25,0.15,0.0005,333622,18,18,10.445930647400003,0.8134442688394452,0.41008631089747144,0.7503077465529293,-0.0006326618550269725,0.0003542911206118049,-0.0005196122702726402,/content/ability_lstm_tuning/T3_large_128.keras
T4_stacked_96_48,96,48,64,48,0.15,0.2,0.1,0.0005,257478,18,18,12.912070419433332,0.8113053428495152,0.411235188960649,0.7490582027601309,-0.002771587844957013,0.0015031691837893435,-0.0017691560630710423,/content/ability_lstm_tuning/T4_stacked_96_48.keras
T5_low_dropout_96,96,,64,48,0.1,0.1,0.05,0.0005,232710,18,18,8.052668302016674,0.8129993653899359,0.41030931755273975,0.7497572049808547,-0.0010775653045362876,0.0005772977758801145,-0.0010701538423472101,/content/ability_lstm_tuning/T5_low_dropout_96.keras
T6_regularised_96,96,,64,64,0.2,0.3,0.15,0.0005,286518,18,18,8.308871494683324,0.8123890356547459,0.4106622005468247,0.7493736816385107,-0.0016878950397263282,0.0009301807699650388,-0.0014536771846912488,/content/ability_lstm_tuning/T6_regularised_96.keras
