epoch,accuracy,auc,learning_rate,loss,rmse,val_accuracy,val_auc,val_loss,val_rmse
0,0.702160656452179,0.7444319128990173,0.0005000000237487257,0.5731453895568848,0.4413715898990631,0.732884407043457,0.7910699248313904,0.5348931550979614,0.42303478717803955
1,0.7336410284042358,0.7868528962135315,0.0005000000237487257,0.5354852080345154,0.42299047112464905,0.7405808568000793,0.7992098331451416,0.5249861478805542,0.41835901141166687
2,0.7396277189254761,0.7948813438415527,0.0005000000237487257,0.5265753269195557,0.41889455914497375,0.7427651286125183,0.8032607436180115,0.5201548337936401,0.4162026047706604
3,0.7421339750289917,0.7988185286521912,0.0005000000237487257,0.5218589305877686,0.41675397753715515,0.7440077662467957,0.8049537539482117,0.5180708765983582,0.4154222011566162
4,0.744106650352478,0.8014216423034668,0.0005000000237487257,0.5186350345611572,0.41537660360336304,0.7451348304748535,0.806435227394104,0.5156692266464233,0.41438421607017517
5,0.7453082203865051,0.8036249279975891,0.0005000000237487257,0.5159267783164978,0.41419336199760437,0.7457762956619263,0.8077190518379211,0.5142555832862854,0.4137524664402008
6,0.7463950514793396,0.8048437833786011,0.0005000000237487257,0.51444011926651,0.4134993255138397,0.7460135221481323,0.808293879032135,0.5137973427772522,0.41354304552078247
7,0.747221827507019,0.8061715960502625,0.0005000000237487257,0.5128580331802368,0.41281795501708984,0.7468453645706177,0.8086175918579102,0.5132081508636475,0.41319409012794495
8,0.7482315897941589,0.807346761226654,0.0005000000237487257,0.5114068388938904,0.41213706135749817,0.7474928498268127,0.8097826242446899,0.5115748047828674,0.4125089943408966
9,0.748914897441864,0.8081141114234924,0.0005000000237487257,0.5104995965957642,0.4117133319377899,0.747637152671814,0.8103088140487671,0.5110526084899902,0.4122965633869171
10,0.7494395971298218,0.8089520931243896,0.0005000000237487257,0.5095488429069519,0.4112796187400818,0.7475625276565552,0.8107548952102661,0.5109068751335144,0.4121933579444885
11,0.7501277923583984,0.8099141716957092,0.0005000000237487257,0.5083911418914795,0.4107266366481781,0.7479642033576965,0.8107006549835205,0.5103577375411987,0.4119700789451599
12,0.7506977915763855,0.8105394244194031,0.0005000000237487257,0.5075229406356812,0.4103372097015381,0.7475509643554688,0.8111825585365295,0.5098242163658142,0.41172343492507935
13,0.7512076497077942,0.8113727569580078,0.0005000000237487257,0.5066012144088745,0.40992993116378784,0.7479957342147827,0.8117045760154724,0.5090841054916382,0.4114149808883667
14,0.7517855167388916,0.8120286464691162,0.0005000000237487257,0.5058026313781738,0.409544438123703,0.7483543753623962,0.8118534088134766,0.5090823173522949,0.41138043999671936
15,0.7524647116661072,0.813163161277771,0.0002500000118743628,0.5045999884605408,0.4090026021003723,0.7485695481300354,0.8120056390762329,0.5087395906448364,0.4112509787082672
16,0.7525037527084351,0.8132784962654114,0.0002500000118743628,0.5043275952339172,0.4088710844516754,0.74891597032547,0.8123809099197388,0.5084945559501648,0.4111396372318268
17,0.7529522776603699,0.8136968612670898,0.0002500000118743628,0.5039026737213135,0.408687025308609,0.7487212419509888,0.8123824000358582,0.5082834959030151,0.41104966402053833
