epoch,accuracy,auc,learning_rate,loss,rmse,val_accuracy,val_auc,val_loss,val_rmse
0,0.7140330672264099,0.7613795399665833,0.0005000000237487257,0.5589311122894287,0.43463772535324097,0.7357193827629089,0.7942554354667664,0.5308529138565063,0.421165406703949
1,0.7390337586402893,0.7945458889007568,0.0005000000237487257,0.5269413590431213,0.4191719591617584,0.7407335042953491,0.801171600818634,0.5234555602073669,0.41765135526657104
2,0.742907702922821,0.8004149794578552,0.0005000000237487257,0.519930362701416,0.4160172939300537,0.7431910634040833,0.8042580485343933,0.5185670852661133,0.4155121445655823
3,0.7451170086860657,0.80327308177948,0.0005000000237487257,0.5164417624473572,0.41443729400634766,0.7444018721580505,0.8058732151985168,0.5163418650627136,0.4146364629268646
4,0.7460504770278931,0.8054250478744507,0.0005000000237487257,0.5137398838996887,0.4132748544216156,0.7448133230209351,0.8070694208145142,0.5150867104530334,0.4140971601009369
5,0.7474084496498108,0.8072410821914673,0.0005000000237487257,0.5115197896957397,0.4123075604438782,0.7457607388496399,0.8081403970718384,0.5136563777923584,0.4134969115257263
6,0.7484563589096069,0.8084052205085754,0.0005000000237487257,0.5100914835929871,0.4116383492946625,0.7459014058113098,0.808774471282959,0.5127742290496826,0.4131077527999878
7,0.7495082020759583,0.8095812797546387,0.0005000000237487257,0.5086548328399658,0.4109916388988495,0.7467451691627502,0.8093112111091614,0.5124251246452332,0.41285473108291626
8,0.7502853870391846,0.8105688095092773,0.0005000000237487257,0.5075152516365051,0.4104371964931488,0.7472297549247742,0.8100045919418335,0.5111937522888184,0.4123474657535553
9,0.7513923645019531,0.8115952610969543,0.0005000000237487257,0.5062394142150879,0.4098677933216095,0.7472885847091675,0.8108120560646057,0.5103123188018799,0.4119858145713806
10,0.7516921162605286,0.8125028610229492,0.0005000000237487257,0.5052531957626343,0.40938735008239746,0.7478865385055542,0.8112902045249939,0.5097138285636902,0.4116920828819275
11,0.7523954510688782,0.8134249448776245,0.0005000000237487257,0.5040882229804993,0.40887993574142456,0.7483465075492859,0.8117002844810486,0.5090494751930237,0.4113974869251251
12,0.7530003190040588,0.814140260219574,0.0005000000237487257,0.5032232403755188,0.4084630310535431,0.7481732964515686,0.8120426535606384,0.5089620351791382,0.41132140159606934
13,0.7540279030799866,0.8155066967010498,0.0002500000118743628,0.5016513466835022,0.4077308773994446,0.7489598989486694,0.812618613243103,0.5079671740531921,0.4109000265598297
14,0.7543529868125916,0.8158861994743347,0.0002500000118743628,0.5011462569236755,0.40751585364341736,0.7490307688713074,0.8126401901245117,0.5081273317337036,0.41095930337905884
15,0.7545939087867737,0.8165635466575623,0.0001250000059371814,0.5003345608711243,0.4071340262889862,0.7487369179725647,0.8127575516700745,0.5078610777854919,0.4108523428440094
16,0.7552838921546936,0.8169191479682922,0.0001250000059371814,0.4999719262123108,0.40694451332092285,0.7489897012710571,0.8129605054855347,0.5076674818992615,0.41075828671455383
17,0.7552086114883423,0.8168450593948364,0.0001250000059371814,0.5000309944152832,0.40697893500328064,0.7490817308425903,0.8129971027374268,0.5075257420539856,0.4106934666633606
